Brand,Vehicle_Type,Title,Fuel Type,Engine (cc),Condition,Gear,Price,Location,Mileage,Options,More_Details,Listing_URL
Honda,SUV,Honda Vezel Z Grade 2014 SUV (Used),Hybrid,1500,Registered (Used),Automatic,"Rs. 10,390,000",Kelaniya,"103,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Honda Vezel Z grade 2014 reg 2015, CAE-XXXX, Auto, full option, push start, auto brake, original black and silver allow wheel, gray color, black interior, multifunction steering wheel, original fog light, spoiler, DVD R camera, 103000km all service record available, winker retractable mirror, accident free, 2nd owner, Kelaniya 
Price 10390000/-
Phone number 0716522020",https://riyasewana.com/buy/honda-vezel-z-sale-kelaniya-11708707
Hyundai,SUV,Hyundai TUCSON 2006 SUV (Used),Petrol,1975,Registered (Used),Automatic,"Rs. 6,500,000",Mawanella,"128,536 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Government officer is used All documents updated. Full options. Original Carpets Tyre Good Conditions ,Original Hyundai Alloy Wheel set,Original Paint Registered Owner, Digital meter. Center Lock, At night Ignition key indicator light. etc.",https://riyasewana.com/buy/hyundai-tucson-sale-mawanella-11708670
Nissan,SUV,Nissan X-Trail 2016 SUV (Used),Petrol,1900,Registered (Used),Automatic,"Rs. 11,000,000",Matale,"88,700 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","First owner
New tyres
Good condition 100%
Price negotiable",https://riyasewana.com/buy/nissan-x-trail-sale-matale-11304349
DFSK,SUV,DFSK Glory I-Auto 2024 SUV (Used),Petrol,1500,Registered (Used),Automatic,Negotiable,Colombo,"6,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","I Auto 2024 New Edition Fully loaded luxury Jeep,
Show room condition,
No even any single scratch,
Engine - 1498 cc 
Electric Seats with 8 Way Adjustment
Digital dash board including speed meter & RPM meter.
Digital Tire Pressure & Tire temperatur Monitoring System,
Fuel-8km to 14km per Ltr,
Control vehicle with your own voice
I-talk/Voice Commands over 100000
18"" Sporty Wheels with full size spare wheel
Adjustable Electric Power Steering Column
Rear A/C 
Keyless Entry
Adaptive cruise control
Hill hold control
Vehicle Stability Control System
Traction Control
Crash Sensor
16 Airbags
360° surround view Camera
Front & side Impact Beams
Central Locking
Power Door Locks
Anti Theft Device
Anti-Theft Alarm
Engine Immobilizer
Premium sound system  with 9” Floating HD Touchscreen + Bluetooth + Radio, USB + AUX Inlet, Reverse Camera, Mobile Phone Mirroring with Voice Control Function
Rain Sensing Auto Wiper
Auto Adjustable LED Head lights
Auto Lighting
Roof Rail
Sun Roof - Panoramic
Digital Clock
Digital Odometer
Tacho Meter
Electronic Multi Tripmeter
Height Adjustable Driver Seat
Rear Seat Headrest
Rear Seat Center Arm Rest
Leather Steering Wheel
Foldable Rear Seat
58 Ltr  fuel tank
Super comfortable McPherson (Front/Rear) Suspensions
ESP (ABS+EBD+EBA)
Hill Hold Control
Central Lock Speed Sensor
Keyless Entry
Retractable Power Mirrors
Electric Power Backdoor with Foot Sensor
Vehicle Running Recorder(DVR)
Crash Auto-Unlocking
Multi-function leather-wrapped steering wheel 
Dual-zone automatic climate control
LED Day Time Running Lights
Diamond grille with chrome pins
Double Exhaust
Convenience & Safety
Active Brake Assist and Attention Assist 
This SUV combines luxury, performance, and reliability in one impressive package. Perfect for navigating Colombo's busy streets while offering the versatility needed for weekend getaways. The preserved interior condition makes this a truly rare find in Colombo.
5 years or 300000km warranty.
Please call for more details.",https://riyasewana.com/buy/dfsk-glory-i-auto-sale-colombo-11708619
Toyota,SUV,Toyota Land Cruiser Prado LC250 ZX 2024 SUV (Used),Diesel,2800,Registered (Used),Automatic,Negotiable,Colombo,650 km,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]",Toyota Land Cruiser LC250 ZX Diesel 0777260355,https://riyasewana.com/buy/toyota-land-cruiser-sale-colombo-11708594
Micro,SUV,Micro SsangYong Rexton Power Up 2009 SUV (Used),Diesel,2700,Registered (Used),Automatic,"Rs. 8,275,000",Embilipitiya,"142,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","🚘 Micro SsangYong Rexton Power Up 2009
✨ Fully Loaded Luxury SUV

🔹 2700CC Powerful Engine
🔹 Automatic Transmission with Tiptronic
🔹 4WD System
🔹 Sunroof
🔹 Original Reverse Camera
🔹 3rd Row A/C
🔹 07 Seater
🔹 Black Colour Leather Seats
🔹 18"" Alloy Wheels
🔹 Multifunction Steering Wheel
🔹 Power Steering / Power Shutters
🔹 Remote Key Lock
🔹 A/C in Perfect Condition
🔹 2nd Registered Owner Vehicle
🔹 Mileage : 142,000 KM
🔹 A to Z Record Available 
💎 Well Maintained & Excellent Running Condition

💰 Price : Rs. 8,275,000/=

📞 0777175557
Serious Buyers Only

🔥 Luxury • Comfort • Performance All in One SUV",https://riyasewana.com/buy/micro-ssangyong-rexton-sale-embilipitiya-11708574
BMW,SUV,BMW X5 2016 SUV (Used),Petrol,2000,Registered (Used),Automatic,"Rs. 21,500,000",Colombo,"71,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","BMW X5 xDrive40e 
A perfect blend of luxury & performance

🚘 *Vehicle Details*
• *Model:BMW X5 xDrive40e Plug-in Hybrid 
• *Year of Manufacture:2016
• *Year of Registration:2017
• *Mileage:71000 km
• *Engine:2.0L BMW TwinPower Turbo Petrol + Electric Motor
• *Combined Power Output:320 BHP
• *Transmission:8-Speed Steptronic Automatic
• *Drivetrain:BMW xDrive Intelligent All-Wheel Drive
• *Registration:CAS-****

🌟 *Premium Features & Equipment*
🔹 Plug-in Hybrid Technology with Pure Electric Driving Mode
🔹 Multiple Driving Modes (Eco Pro / Comfort / Sport)
🔹 Premium Beige Leather Interior
🔹 Electrically Adjustable Front Seats with Memory Function
🔹 Multifunction Leather Steering Wheel
🔹 Paddle Shifters
🔹 BMW iDrive Infotainment System with Wide Display
🔹 Reverse Camera with Front & Rear Parking Sensors (PDC)
🔹 Dual-Zone Automatic Climate Control
🔹 Comfort Access & Push-Start Ignition
🔹 Adaptive LED Headlights
🔹 Cruise Control
🔹 Electrically Operated Power Tailgate
🔹 Factory Alloy Wheels

💎 *Condition*
✔️ Extremely well maintained
✔️ Smooth & powerful driving experience
✔️ Luxury family SUV with premium comfort
✔️ Throughout company maintained 

Price negotiable upon inspection 
Strictly no time wasters",https://riyasewana.com/buy/bmw-x5-sale-colombo-11708511
Micro,SUV,Micro Kyron 2010 SUV (Used),Diesel,2500,Registered (Used),Automatic,"Rs. 6,850,000",Kiribathgoda,"140,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Micro Kyron 2010
Leather electric seats 💯 
Engine 💯 
Running 💯 
Interior and exterior 💯 
Accident free 
Currently using by the registered owner 
Regretfully selling due to upgrade",https://riyasewana.com/buy/micro-kyron-sale-kiribathgoda-11708508
Nissan,SUV,Nissan X-Trail 2013 SUV (Used),Diesel,2000,Registered (Used),Automatic,Negotiable,Kandy,"215,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","NISSAN X TRAIL 
MANUFACTURED 2013
REGISTERED 2013
REGISTERED 2ND OWNER
AUTOMATIC GEAR
4 WHEEL DRIVE
SMART KEY
TOUCH AC
REAR AC
ALL RECORDS AVAILABLE 
ACCIDENT FREE
NEGOTIABLE",https://riyasewana.com/buy/nissan-x-trail-sale-kandy-11708482
Audi,SUV,Audi Q2 Advanced 2018 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 13,200,000",Colombo,"46,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Audi Q2 (Advanced Edition) for Sale. 

CBC - , 2018 Model, Tiptronic, Push Start, Virtual Cockpit, Pearl White Colour, Black Interior, Full Option, Electric Tailgate, Audi Sound System, LED Headlights, Alloy Wheels, 46,000 Km Done, 1st Owner, Company Maintained, Superb Condition, 13.2 Million. 0717 - 250 250",https://riyasewana.com/buy/audi-q2-advanced-sale-colombo-11708465
Toyota,SUV,Toyota Harrier 2016 SUV (Used),Petrol,1980,Registered (Used),Automatic,"Rs. 20,500,000",Maharagama,"124,050 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","TOYOTA HARRIER Advance premium(Highest grade). 
Dark Purple in color.
All functions operates smooth.
Brokers not entertained.",https://riyasewana.com/buy/toyota-harrier-sale-maharagama-11708460
Honda,SUV,Honda Vezel Orange Pack 2014 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 9,800,000",Hanwella,"143,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Good Condition
AUTOMATIC TRANSMISSION 
 PUSH START
 WINE RED EXTERIOR
 HALF-LEATHER INTERIOR
1500CC
TOUCH AC
 REVERSE CAMERA WITH ANDROID SETUP
 DUAL MULTIFUNCTION STEERING
 CRUISE CONTROL
 POWER SHUTTER / POWER MIRROR
 RETRACTABLE WINKER MIRRORS
 143,000km GENUINE MILEAGE & MANY MORE EXTRAS.",https://riyasewana.com/buy/honda-vezel-orange-sale-hanwella-11708454
BYD,SUV,BYD Sealion 6 2026 SUV Brand New,Electric,1500,Brand New,Automatic,"Rs. 21,700,000",Kalmunai,1 km,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Brand new
In company
You can get the vehicle bin company 
In BYD warehouse",https://riyasewana.com/buy/byd-sealion-6-sale-kalmunai-11708413
Nissan,SUV,Nissan X-Trail 2011 SUV (Used),Petrol,1990,Registered (Used),Automatic,"Rs. 6,975,000",Piliyandala,"165,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","NISSAN X -TRAIL NT 30
☎️ 070 305 48 33 📞
➡️2nd Owner
➡️YOM - 2008
➡️ YOR.- 2011
➡️Intaligant key
➡️2000CC
➡️165000km
➡️Automatic transmission
➡️Reverse and front Camera
➡️Intaligant key ( key less entry)
➡️Climat control
➡️Auto A/C system
➡️Cimate Control Auto AC
➡️Retrctable Auto mirror
➡️Full Leather interior
➡️All 4 brand new Tyre's
➡️Alloy wheels
➡️All 4 Disc Brakes system
➡️Leather seats and interior
➡️Fog lights
➡️Air bag
➡️ABS brake system
➡️Original paint 100%
➡️Accident free 100%
➡️Home use jeep
➡️Android player
➡️Super Condition jeep. 🚗
☎️070 305 48 33 📞 WhatsApp 📞",https://riyasewana.com/buy/nissan-x-trail-sale-piliyandala-11708381
Nissan,SUV,Nissan Juke 2013 SUV (Used),Petrol,1490,Registered (Used),Automatic,"Rs. 6,850,000",Colombo,"161,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Nissan Juke
2013/2014
Excellent condition 
Registered owner 
New tyres 
Genuine mileage 
Fuel 15-17
Can be seen at Kandana and Kollupitiya
මිල වෙනසක් සිදුකර හැක
ලක්ෂ 50 ක් දක්වා ලීසින් ලබාගත හැක
ලීසින් පහසුකම් සලසා දිය හැක
0772394062",https://riyasewana.com/buy/nissan-juke-sale-colombo-11708369
Toyota,SUV,Toyota Prado 2017 SUV (Used),Petrol,-,Registered (Used),Automatic,"Rs. 44,000,000",Pannipitiya,"70,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]",,https://riyasewana.com/buy/toyota-prado-sale-pannipitiya-11708295
Suzuki,SUV,Suzuki Jimny Land-Venture 2017 SUV (Used),Petrol,660,Registered (Used),Automatic,"Rs. 6,590,000",Colombo,"62,000 km",[],"Suzuki Jimny Land Venture 2017

# LAND VENTURE HIGHEST SPEC
# CBF - XXXX REGISTRATION 
# 2019 REGISTERED
# 650CC TURBO ENGINE 
# SELECTABLE 4WD 
# LAND VENTURE LEATHER MIX INTERIOR 
# LAND VENTURE FRONT NICKEL SHELL
# LAND VENTURE FRONT CUFF PLATE
# LAND VENTURE ALLOYS 
# LAND VENTURE SPAREWHEEL COVER 
# LAND VENTURE ALLOYS 
# SERVICE RECORDS AVAILABLE 
# SECOND OWNER (IMPORTER FIRST OWNER)

# ABS Breaks 
# ""ANDROID"" USB Audio Video Player 
# Winker Mirrors 
# Multifunction Steering Wheel 
# Nickel Door Handles
# Rear Wiper
# Power Shutters 
# Power Mirrors 
# Dual Airbags 
# Brandnew ""PINYX"" Tyres 

"" Probably One of the Best Condition ""Suzuki Jimny 2017's"" in the Country "" 

# Pelawatta, Battaramulla",https://riyasewana.com/buy/suzuki-jimny-land-venture-sale-colombo-11708285
Toyota,SUV,Toyota Land Cruiser Prado 150 TXG Frontier 2017 SUV (Used),Petrol,2700,Registered (Used),Automatic,"Rs. 42,500,000",Wennappuwa,"56,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota Land Cruiser Prado 150- TX- G frontier.
*Most probably the Lowest Mileage 2017 jeep in the country It.

•Manufactured -2017
.registered-2017
•CAU-XXXX
.Accident Free
•Mileage 56000km ( genuine mileage)
•Modellista Teak steering V Modellista Dual silencer .Modellista Electric Side steps
•Toyota Company maintained All Records Available
• original JBL sound system with 360 camera
•Tan interior interior Seater Seater
.3rd row Electric Seats 
.Sliding Sunroof
•Modellista chrome rear step guard
•Modellsita chrome side mirror covers
•New set of Pirelli tires full 3D carpets
•Front recording camera
-price RS 42,500,000 (42.5)
•Negotiable.

📞Contact For More Details☎️",https://riyasewana.com/buy/toyota-land-cruiser-sale-wennappuwa-11708245
Toyota,SUV,Toyota Taisor 2026 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 11,890,000",Kandy,1 km,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","🚘✨ The All-New Toyota Taisor V 2026 ✨🚘
Brand New Luxury SUV Available Now 
✨️ Starting From LKR 11.89M
✨️ Limited Stock Available – Reserve Yours Today! 
070 444 4168/ 071 3195433
✅ Brand New 2026 Model
✅ Stylish & Sporty SUV Design
✅ Premium Interior Comfort
✅ Smart Touch Display & Reverse Camera
✅ Fuel Efficient Turbo Performance
✅ Automatic Transmission
✅ LED Head Lamps & Alloy Wheels
✅ Trusted Toyota Safety & Reliability
✨ Drive Smart. Drive Stylish. Drive Toyota. ✨
#ToyotaTaisor #ToyotaSriLanka #Toyota2026 #SUVSriLanka #BrandNewCars #LuxuryDrive #LimitedStock #ToyotaLife #CarSaleSriLanka",https://riyasewana.com/buy/toyota-taisor-sale-kandy-11708222
Suzuki,SUV,Suzuki Grand Vitara 2013 SUV (Used),Petrol,2000,Registered (Used),Automatic,"Rs. 8,400,000",Colombo,"72,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Suzuki Grand Vitara

• Highest Possible Spec (Company Brand New )
• YoM - 2013
• YoR- 2014
• Milage - 72,000 KM 
• First Owner ( No Previous)
• Engine Capacity - 2 L Straight Petrol
• Country of Origin - Japan
• A- Z Emission records Available From 2014 
• A - Z Service Records Available From 2014
• Fully  maintained by Agents (AMW )
• 100% Original Paint
• Factory fitted Sound System
• Factory Fitted Reverse Camera 
• Power Mirrors

• Price - 8,400,000 LKR  (Negotiable)

• Contact 075 898 9024 For more information",https://riyasewana.com/buy/suzuki-grand-vitara-sale-colombo-11708218
DFSK,SUV,DFSK Glory I-Auto 2024 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 14,000,000",Kalutara,"22,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","🔵I Auto  7 seater jeep
🔵CBM number 
🔵Genuine Low Milege 22,000 km
(Service Bill, Company Maintenance Bill, Emissions Reports are Available)
🔵Full Service Done Recently.
🔵Intelligent, Fully Loaded, Comfortable SUV Jeep.
🔵Fuel consumption: City 10 kmL Per Ltr,
Highway 14-16 kmL
🔵A-Z Company Maintained.
(United Motors)
🔵Original 2 Intelligent
Smart Key.
🔵4 Airbags.
🔵ESP (ABS+EBD+EBA)
🔵Hill Hold Control.
🔵Tyre Pressure Monitoring
System.
🔵Central Lock Speed Sensor.
🔵Rear Parking Sensor.

🔵Black Soft Touch Material
Dashboard.
🔵Audio System with 9"" Floating HD Touchscreen
+ Bluetooth + Radio, USB
+ AUX Inlet, Reversen Camera, Mobile Phone
Mirroring with Voice Control
Function.
🔵Leather Seat with White
Stitching (7 Seats).
🔵Electric Seat with 6 Way Adjustment (Driver Seat) and
Electric Seat with 4 Way
Adjustment (Front Passenger Seat).

🔵18"" Sporty Wheels.
🔵Retractable Power Mirrors.
🔵Full LED Headlamps.
🔵LED Day Time Running
Lights.
🔵Double Exhaust Decorative
Cover

🔵I-talk/Voice Command.
🔵Auto Lighting.
🔵Auto Wiper.
🔵Electric Power
Backdoor with Foot Sensor.
🔵Vehicle Running Recorder.
🔵Crash Auto-Unlocking.
🔵Cruise Control.
🔵Electric Panoramic Sunroof
With Power Curtain.
🔵360・ Surround
View Camera.
🔵Small amount can be Negotiable only after the inspection. Please call.",https://riyasewana.com/buy/dfsk-glory-i-auto-sale-kalutara-11708139
Nissan,SUV,Nissan X-Trail 2023 SUV Unregistered (Recondition),Electric,1500,Unregistered (Recondition),Automatic,"Rs. 27,000,000",Dehiwala-Mount-Lavinia,"56,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Fuel consumption rate WLTC mode  21.1 Km/L
""G"" Grade full option with PANORAMIC SUNROOF and NAPPA LEATHER seats
OPTIONS - 
Vision
LED headlights (high/low beam, with manual leveling)
Signature LED position lamps
LED Daytime Running Lights
High beam assist
Power-folding, remote-controlled, colored door mirrors with side turn signals (downward tilt linked to reverse, retracts linked to door lock, and has a position memory function).
ProPILOT Parking
Intelligent Around View Monitor (with moving object detection and 3D view function)
Intelligent rearview mirror
IR-cut & Super UV-cut heat-insulating green glass (front doors)
Super UV-cut green glass (front)
Soundproof glass (front, front doors)
Privacy glass (with UV-cut and heat-insulating function) 
Intelligent automatic lighting system (linked to front wipers, with twilight-sensing “considerate lighting” function)
Front speed-sensitive intermittent wiper
Rear intermittent wiper (with reverse-linked function)
Heated rear window (with timer)
LED rear combination lamps
Around the driver’s seat
Tailor-fitted steering wheel
Speed-sensitive electric power steering
Steering wheel controls: Advanced Drive Assist Display settings, audio, hands-free phone, ProPILOT
e-Pedal Step
Electric parking brake
Auto Brake Hold
Intelligent key with driver’s seat, passenger seat, and tailgate sensing, automatic tailgate opening/closing function, fuel filler lid linked, 2 keys included.
Unlock when approaching / Automatic lock when exiting
Head-up display (with navigation and ProPILOT information display function, color display)
Push Power Starter
Drive mode selector
Advanced Drive Assist Display 12.3-inch Color Display
Wireless charger
Antibacterial steering wheel
Tilt and telescopic steering
Power meter
Outside temperature gauge (displayed on the instrument panel display)
Electronically controlled shift
EV mode switch (Charge mode/Silent mode switch)
Comfort Flasher",https://riyasewana.com/buy/nissan-x-trail-sale-dehiwala-mount-lavinia-11708136
Mitsubishi,SUV,Mitsubishi Outlander 2016 SUV (Used),Petrol,2000,Registered (Used),Automatic,Negotiable,Negombo,"145,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","🚗 Mitsubishi Outlander PHEV NAVI Premium – Plug-in Hybrid SUV විකිණීමට

📅 Registered වර්ෂය : 2016
🔹 Grade: NAVI Premium – Full Option
🔹 හිමිකරු : 2nd Owner
🔹 තත්ත්වය : ඉතා හොඳ තත්ත්වයේ / Home Used Vehicle

✨ විශේෂතා:
• TAN Leather Interior
• Original Body Kit
• Navigation System
• Plug-in Hybrid Technology (Electric + Petrol)
• ඉතා සුවපහසු සහ ඉන්ධන ඉතිරි කරන SUV රථයක්

🛠 නඩත්තු කටයුතු සියල්ල United Motors මඟින් සිදු කර ඇත.
📄 Service Records ලබා ගත හැක.

නිවසේ භාවිතා කළ, ඉතා හොඳින් පරිහරණය කරන ලද වාහනයකි.

📞 උනන්දුවක් ඇති අය පමණක් පහත දුරකථන අංක වෙත සම්බන්ධ වන්න.
මිල ගනන් සාකච්ජා කල හැක. ඉහල ඉල්ලුමට දෙමි

🚗 Mitsubishi Outlander PHEV – NAVI Premium Grade | Plug-in Hybrid SUV
Model Year: 2016
Grade: NAVI Premium (Full Option)
Ownership: 2nd Owner
Condition: Excellent – Home Used
A well-maintained Plug-in Hybrid Electric Vehicle (PHEV) combining performance, fuel efficiency, and premium comfort.
🔹 Key Features:
Premium TAN Leather Interior
Full Option Variant
Original Factory Body Kit
Navigation System
Plug-in Hybrid Technology (Electric + Petrol)
Smooth Automatic Transmission
Spacious & Comfortable SUV
🔹 Maintenance:
Fully maintained by United Motors
Complete service records available upon request

This vehicle has been carefully maintained and is in excellent running condition. Ideal for families or anyone looking for a reliable, fuel-efficient hybrid SUV.

📞 Serious buyers only – Please contact on the numbers below for more details and viewing arrangements.
Price can be negotiated and selling at highest offer
Pls contact 0777107344 or WhatsApp on 00966545625129",https://riyasewana.com/buy/mitsubishi-outlander-sale-negombo-11687770
Kia,SUV,Kia Sorento 2013 SUV (Used),Diesel,2200,Registered (Used),Automatic,"Rs. 14,500,000",Kandy,"48,400 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Kia Sorento 2013 – Highest Trim / First Owner / Genuine mileage 

Well-maintained Kia Sorento 2013 highest-trim model, brought brand new and owned by the first owner. This vehicle has been used by a specialist doctor and has genuine mileage with regular servicing and company maintenance records.

The vehicle is in excellent condition for its age with a mileage of only 48k km's and offers a comfortable, spacious, and premium driving experience, ideal for family use or long-distance travel.

Key features include:
Sunroof, 7-seater configuration, 3rd-row AC vents, cruise control, reverse camera, parking sensors, full leather seats, and many other full-option features available in the highest-trim Kia Sorento 2013 model.

A carefully used, reliable SUV with a clean ownership history and genuine maintenance background.",https://riyasewana.com/buy/kia-sorento-sale-kandy-11676977
Toyota,SUV,Toyota RAV4 Limited Edition 2004 SUV (Used),Petrol,2000,Registered (Used),Automatic,"Rs. 2,250,000",Kandy,"180,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","TOYOTA RAV 4 L
4 wheel 
YOM 2000 - REG 2004
Made in JAPAN 
2000CC  DUAL INJECTION 
AUTO ECON MODE AND POWER MODE
4WD AUTO SELECT 
TOUCH AC CONTROL PANNEL
ANDROID PLAYER
FULLY RESTORE VEHICLE 
New GYER BOX
New SUSPENSION 
New 4 TYRES 
New BATTERY 
Factory fitted body kit and spoiler 
ALL OPTIONS WORKING PERFECTLY
Price *Hand 2250000
          *Have Speed draft transfer 
NEGOTIATE ONLY AFTER INSPECTION",https://riyasewana.com/buy/toyota-rav4-limited-sale-kandy-11708130
Mitsubishi,SUV,Mitsubishi Eclipse Cross 2018 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 11,900,000",Kadawatha,"140,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Mitsubishi Eclipse cross 2018
හොදම තත්වයේ රතය 
ෆුල් ඔප්ශන් 
Sunroof 
පුශ් ස්ටාර්ට්
Blind spot
Headup display 
Cruise control 
ඇතුලත පිටත හොදම තත්වයෙන් 
මිල සාකච්ඡා කල හැක 
ලස්සන කාර් සේල් කිරිල්ලවල 
කඩවත කිරිල්ලවල කන්ද කපාපු හන්දිය අසල 
වාහන හුවමාරු කිරීම හෝ අත්පිට මුදලට එවෙලේම මිලදී ගත හැක 
එක්දින ලීසිං පහසුකම්",https://riyasewana.com/buy/mitsubishi-eclipse-cross-sale-kadawatha-11708113
Hyundai,SUV,Hyundai Santa Fe 2015 SUV (Used),Diesel,2199,Registered (Used),Automatic,Negotiable,Dankotuwa,"235,500 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Full Option
2nd Owner",https://riyasewana.com/buy/hyundai-santa-fe-sale-dankotuwa-11707971
Audi,SUV,Audi Q2 2019 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 15,000,000",Colombo,"65,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Audi Q2 2019 (location- Colombo)

Sunroof 

Leather interior 

1000cc

Accident free

Petrol 

1st owner 

65,000km done

Push start

Pearl white

LED headlights 

Audi sound system 



Price - 150 laks 

Contact- 0701205384",https://riyasewana.com/buy/audi-q2-sale-colombo-11708110
